#Card	# Card Name
1	Angel of Mercy
2	Angelic Page
3	Ardent Militia
4	Avatar of Hope
5	Aven Cloudchaser
6	Aven Flock
7	Blessed Reversal
8	Blinding Angel
9	Chastise
10	Circle of Protection: Black
11	Circle of Protection: Blue
12	Circle of Protection: Green
13	Circle of Protection: Red
14	Circle of Protection: White
15	Crossbow Infantry
16	Demystify
17	Diving Griffin
18	Elite Archers
19	Elite Javelineer
20	Glorious Anthem
21	Glory Seeker
22	Healing Salve
23	Holy Day
24	Holy Strength
25	Honor Guard
26	Intrepid Hero
27	Ivory Mask
28	Karma
29	Master Decoy
30	Master Healer
31	Noble Purpose
32	Oracle's Attendants
33	Pacifism
34	Peach Garden Oath
35	Rain of Blades
36	Razorfoot Griffin
37	Redeem
38	Rolling Stones
39	Sacred Ground
40	Sacred Nectar
41	Samite Healer
42	Sanctimony
43	Savannah Lions
44	Seasoned Marshal
45	Serra Angel
46	Solidarity
47	Spirit Link
48	Standing Troops
49	Staunch Defenders
50	Story Circle
51	Suntail Hawk
52	Sunweb
53	Sword Dancer
54	Tundra Wolves
55	Venerable Monk
56	Wall of Swords
57	Worship
58	Wrath of God
59	Air Elemental
60	Archivist
61	Aven Fisher
62	Balance of Power
63	Boomerang
64	Bribery
65	Catalog
66	Coastal Hornclaw
67	Coastal Piracy
68	Concentrate
69	Confiscate
70	Coral Eel
71	Cowardice
72	Curiosity
73	Daring Apprentice
74	Deflection
75	Dehydration
76	Evacuation
77	Fighting Drake
78	Flash Counter
79	Fleeting Image
80	Flight
81	Fugitive Wizard
82	Hibernation
83	Horned Turtle
84	Index
85	Inspiration
86	Intruder Alarm
87	Invisibility
88	Mahamoti Djinn
89	Mana Leak
90	Merchant of Secrets
91	Merchant Scroll
92	Mind Bend
93	Phantom Warrior
94	Puppeteer
95	Remove Soul
96	Rewind
97	Sage of Lat-Nam
98	Sage Owl
99	Sea Monster
100	Shifting Sky
101	Sneaky Homunculus
102	Spiketail Hatchling
103	Steal Artifact
